rule,old_present,old_confidence,old_lift,old_support,young_present,young_confidence,young_lift,young_support
(hrv_hfn_high) => hrv_hfn_high equals temp_high,True,0.5952,0.6851,0.4098,False,,,
(hrv_hfn_high) => hrv_hfn_high meets arousal_medium,True,0.7143,0.7143,0.4918,False,,,
(hrv_hfn_high) => hrv_hfn_high meets eda_peaks_high,True,0.5,0.5,0.3443,True,0.625,0.625,0.3333
(hrv_hfn_high) => hrv_hfn_high meets eda_scr_amp_medium,True,0.5,0.5545,0.3443,False,,,
(hrv_hfn_high) => hrv_hfn_high meets eda_scr_auc_low,True,0.5238,0.6145,0.3607,False,,,
(hrv_hfn_high) => hrv_hfn_high meets valence_medium,True,0.7381,0.7381,0.5082,True,0.7188,0.7188,0.3833
(hrv_hfn_low) => hrv_hfn_low before eda_peaks_high,False,,,,True,0.7045,0.7045,0.5167
(hrv_hfn_low) => hrv_hfn_low meets arousal_medium,True,0.6136,0.6136,0.4426,True,0.5455,0.5547,0.4
(hrv_hfn_low) => hrv_hfn_low meets eda_scr_amp_low,False,,,,True,0.5455,0.6294,0.4
(hrv_hfn_low) => hrv_hfn_low meets eda_scr_auc_high,True,0.5455,0.5455,0.3934,False,,,
(hrv_hfn_low) => hrv_hfn_low meets eda_scr_auc_low,True,0.5,0.5865,0.3607,False,,,
(hrv_hfn_low) => hrv_hfn_low meets eda_scr_auc_medium,False,,,,True,0.5,0.5882,0.3667
(hrv_hfn_low) => hrv_hfn_low meets eda_std_medium,False,,,,True,0.5,0.5455,0.3667
(hrv_hfn_low) => hrv_hfn_low meets valence_medium,True,0.5682,0.5682,0.4098,True,0.6136,0.6136,0.45
(hrv_hfn_medium) => hrv_hfn_medium before eda_peaks_medium,True,0.75,0.75,0.4426,True,0.6667,0.7143,0.2667
(hrv_hfn_medium) => hrv_hfn_medium before eda_scr_amp_low,False,,,,True,0.5417,0.625,0.2167
(hrv_hfn_medium) => hrv_hfn_medium equals hrv_rmssd_medium,True,0.5278,0.6313,0.3115,False,,,
(hrv_hfn_medium) => hrv_hfn_medium meets arousal_medium,True,0.7222,0.7222,0.4262,True,0.625,0.6356,0.25
(hrv_hfn_medium) => hrv_hfn_medium meets eda_scr_auc_low,True,0.5556,0.6517,0.3279,False,,,
(hrv_hfn_medium) => hrv_hfn_medium meets eda_scr_auc_medium,True,0.5556,0.5744,0.3279,False,,,
(hrv_hfn_medium) => hrv_hfn_medium meets eda_std_medium,True,0.5556,0.5648,0.3279,True,0.5,0.5455,0.2
(hrv_hfn_medium) => hrv_hfn_medium meets valence_medium,True,0.7222,0.7222,0.4262,True,0.7917,0.7917,0.3167
(hrv_pnn20_high) => hrv_pnn20_high before eda_peaks_medium,True,0.6,0.6,0.541,True,0.5333,0.5714,0.4
(hrv_pnn20_high) => hrv_pnn20_high before eda_scr_amp_low,False,,,,True,0.5333,0.6154,0.4
(hrv_pnn20_high) => hrv_pnn20_high equals hrv_pnn50_high,True,0.5091,0.5972,0.459,True,0.5333,0.7442,0.4
(hrv_pnn20_high) => hrv_pnn20_high equals hrv_rmssd_high,True,0.5455,0.6655,0.4918,True,0.5556,0.7407,0.4167
(hrv_pnn20_high) => hrv_pnn20_high equals hrv_sdnn_high,False,,,,True,0.5778,0.7376,0.4333
(hrv_pnn20_high) => hrv_pnn20_high meets arousal_medium,True,0.6545,0.6545,0.5902,True,0.6,0.6102,0.45
(hrv_pnn20_high) => hrv_pnn20_high meets eda_max_low,False,,,,True,0.5333,0.5424,0.4
(hrv_pnn20_high) => hrv_pnn20_high meets eda_peaks_high,False,,,,True,0.6222,0.6222,0.4667
(hrv_pnn20_high) => hrv_pnn20_high meets eda_scr_auc_high,True,0.5818,0.5818,0.5246,False,,,
(hrv_pnn20_high) => hrv_pnn20_high meets eda_scr_auc_medium,False,,,,True,0.5333,0.6275,0.4
(hrv_pnn20_high) => hrv_pnn20_high meets eda_std_medium,False,,,,True,0.5333,0.5818,0.4
(hrv_pnn20_high) => hrv_pnn20_high meets valence_medium,True,0.6364,0.6364,0.5738,True,0.6889,0.6889,0.5167
(hrv_pnn20_low) => hrv_pnn20_low before eda_peaks_medium,True,0.5714,0.5714,0.459,False,,,
(hrv_pnn20_low) => hrv_pnn20_low before eda_scr_auc_medium,True,0.5102,0.5275,0.4098,True,0.619,0.7283,0.4333
(hrv_pnn20_low) => hrv_pnn20_low before eda_std_medium,True,0.5102,0.5187,0.4098,False,,,
(hrv_pnn20_low) => hrv_pnn20_low before hr_high,False,,,,True,0.5,0.5769,0.35
(hrv_pnn20_low) => hrv_pnn20_low equals hrv_pnn50_low,True,0.6531,0.813,0.5246,True,0.5476,0.7823,0.3833
(hrv_pnn20_low) => hrv_pnn20_low equals hrv_rmssd_low,True,0.551,0.6722,0.4426,True,0.6667,1.0,0.4667
(hrv_pnn20_low) => hrv_pnn20_low equals hrv_sdnn_low,True,0.6122,0.7469,0.4918,True,0.5476,0.7823,0.3833
(hrv_pnn20_low) => hrv_pnn20_low meets arousal_medium,True,0.6939,0.6939,0.5574,True,0.5714,0.5811,0.4
(hrv_pnn20_low) => hrv_pnn20_low meets eda_peaks_medium,False,,,,True,0.5952,0.6378,0.4167
(hrv_pnn20_low) => hrv_pnn20_low meets eda_scr_amp_low,False,,,,True,0.5714,0.6593,0.4
(hrv_pnn20_low) => hrv_pnn20_low meets eda_scr_auc_high,True,0.5306,0.5306,0.4262,False,,,
(hrv_pnn20_low) => hrv_pnn20_low meets eda_scr_auc_low,True,0.5306,0.6224,0.4262,False,,,
(hrv_pnn20_low) => hrv_pnn20_low meets eda_std_medium,False,,,,True,0.5714,0.6234,0.4
(hrv_pnn20_low) => hrv_pnn20_low meets valence_medium,True,0.6122,0.6122,0.4918,True,0.5476,0.5476,0.3833
(hrv_pnn20_medium) => hrv_pnn20_medium equals hrv_pnn50_medium,False,,,,True,0.5405,0.7722,0.3333
(hrv_pnn20_medium) => hrv_pnn20_medium meets arousal_medium,True,0.6383,0.6383,0.4918,False,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets eda_peaks_high,False,,,,True,0.5405,0.5405,0.3333
(hrv_pnn20_medium) => hrv_pnn20_medium meets eda_scr_amp_medium,True,0.5532,0.6135,0.4262,False,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets eda_scr_auc_high,True,0.5745,0.5745,0.4426,False,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets eda_scr_auc_low,True,0.5532,0.6489,0.4262,False,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets eda_std_high,True,0.5106,0.5191,0.3934,False,,,
(hrv_pnn20_medium) => hrv_pnn20_medium meets valence_medium,True,0.6383,0.6383,0.4918,True,0.6757,0.6757,0.4167
(hrv_pnn50_high) => hrv_pnn50_high before eda_scr_auc_medium,False,,,,True,0.5116,0.6019,0.3667
(hrv_pnn50_high) => hrv_pnn50_high before eda_std_medium,True,0.5192,0.5279,0.4426,True,0.5116,0.5581,0.3667
(hrv_pnn50_high) => hrv_pnn50_high equals hrv_rmssd_high,True,0.8077,0.9854,0.6885,True,0.6977,0.9302,0.5
(hrv_pnn50_high) => hrv_pnn50_high equals hrv_sdnn_high,True,0.6923,0.7541,0.5902,True,0.6977,0.8906,0.5
(hrv_pnn50_high) => hrv_pnn50_high meets arousal_medium,True,0.6154,0.6154,0.5246,True,0.6977,0.7095,0.5
(hrv_pnn50_high) => hrv_pnn50_high meets eda_max_low,False,,,,True,0.5116,0.5203,0.3667
(hrv_pnn50_high) => hrv_pnn50_high meets eda_peaks_high,False,,,,True,0.5116,0.5116,0.3667
(hrv_pnn50_high) => hrv_pnn50_high meets eda_peaks_medium,True,0.5385,0.5385,0.459,True,0.5814,0.6229,0.4167
(hrv_pnn50_high) => hrv_pnn50_high meets eda_scr_amp_low,False,,,,True,0.5349,0.6172,0.3833
(hrv_pnn50_high) => hrv_pnn50_high meets eda_scr_auc_high,True,0.5769,0.5769,0.4918,True,0.5349,0.5439,0.3833
(hrv_pnn50_high) => hrv_pnn50_high meets eda_scr_auc_medium,True,0.5385,0.5567,0.459,False,,,
(hrv_pnn50_high) => hrv_pnn50_high meets eda_std_high,True,0.5,0.5083,0.4262,True,0.5116,0.5293,0.3667
(hrv_pnn50_high) => hrv_pnn50_high meets valence_medium,True,0.6346,0.6346,0.541,True,0.6977,0.6977,0.5
(hrv_pnn50_low) => hrv_pnn50_low before eda_peaks_high,False,,,,True,0.5476,0.5476,0.3833
(hrv_pnn50_low) => hrv_pnn50_low equals hrv_rmssd_low,True,0.5306,0.6473,0.4262,True,0.7143,1.0714,0.5
(hrv_pnn50_low) => hrv_pnn50_low equals hrv_sdnn_low,True,0.551,0.6722,0.4426,True,0.6429,0.9184,0.45
(hrv_pnn50_low) => hrv_pnn50_low meets arousal_medium,True,0.7755,0.7755,0.623,True,0.5,0.5085,0.35
(hrv_pnn50_low) => hrv_pnn50_low meets eda_peaks_high,True,0.5102,0.5102,0.4098,False,,,
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_amp_high,True,0.551,0.5897,0.4426,False,,,
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_amp_low,False,,,,True,0.5476,0.6319,0.3833
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_auc_high,True,0.5918,0.5918,0.4754,False,,,
(hrv_pnn50_low) => hrv_pnn50_low meets eda_scr_auc_medium,False,,,,True,0.5238,0.6162,0.3667
(hrv_pnn50_low) => hrv_pnn50_low meets eda_std_high,True,0.5306,0.5395,0.4262,False,,,
(hrv_pnn50_low) => hrv_pnn50_low meets valence_medium,True,0.6939,0.6939,0.5574,True,0.5476,0.5476,0.3833
(hrv_pnn50_medium) => hrv_pnn50_medium before eda_peaks_medium,True,0.5472,0.5472,0.4754,True,0.5,0.5357,0.35
(hrv_pnn50_medium) => hrv_pnn50_medium before eda_scr_amp_low,False,,,,True,0.5238,0.6044,0.3667
(hrv_pnn50_medium) => hrv_pnn50_medium equals temp_high,False,,,,True,0.5476,0.6845,0.3833
(hrv_pnn50_medium) => hrv_pnn50_medium meets arousal_medium,True,0.6792,0.6792,0.5902,True,0.5476,0.5569,0.3833
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_peaks_high,False,,,,True,0.5714,0.5714,0.4
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_scr_auc_high,True,0.5283,0.5283,0.459,False,,,
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_scr_auc_medium,False,,,,True,0.5714,0.6723,0.4
(hrv_pnn50_medium) => hrv_pnn50_medium meets eda_std_medium,False,,,,True,0.5476,0.5974,0.3833
(hrv_pnn50_medium) => hrv_pnn50_medium meets valence_medium,True,0.6604,0.6604,0.5738,True,0.6667,0.6667,0.4667
(hrv_rmssd_high) => hrv_rmssd_high before eda_peaks_high,False,,,,True,0.5556,0.5556,0.4167
(hrv_rmssd_high) => hrv_rmssd_high before eda_scr_amp_low,False,,,,True,0.6222,0.7179,0.4667
(hrv_rmssd_high) => hrv_rmssd_high equals hrv_sdnn_high,True,0.82,0.8932,0.6721,True,0.8222,1.0496,0.6167
(hrv_rmssd_high) => hrv_rmssd_high meets arousal_medium,True,0.66,0.66,0.541,True,0.5111,0.5198,0.3833
(hrv_rmssd_high) => hrv_rmssd_high meets eda_peaks_medium,True,0.54,0.54,0.4426,True,0.5556,0.5952,0.4167
(hrv_rmssd_high) => hrv_rmssd_high meets eda_scr_auc_high,True,0.64,0.64,0.5246,False,,,
(hrv_rmssd_high) => hrv_rmssd_high meets eda_scr_auc_medium,False,,,,True,0.5333,0.6275,0.4
(hrv_rmssd_high) => hrv_rmssd_high meets eda_std_high,True,0.52,0.5287,0.4262,True,0.5333,0.5517,0.4
(hrv_rmssd_high) => hrv_rmssd_high meets eda_std_medium,True,0.5,0.5083,0.4098,True,0.5556,0.6061,0.4167
(hrv_rmssd_high) => hrv_rmssd_high meets valence_medium,True,0.58,0.58,0.4754,True,0.5778,0.5778,0.4333
(hrv_rmssd_low) => hrv_rmssd_low before eda_peaks_high,False,,,,True,0.525,0.525,0.35
(hrv_rmssd_low) => hrv_rmssd_low before eda_peaks_medium,True,0.56,0.56,0.459,False,,,
(hrv_rmssd_low) => hrv_rmssd_low equals hrv_sdnn_low,True,0.7,0.854,0.5738,True,0.675,0.9643,0.45
(hrv_rmssd_low) => hrv_rmssd_low meets arousal_medium,True,0.6,0.6,0.4918,True,0.6,0.6102,0.4
(hrv_rmssd_low) => hrv_rmssd_low meets eda_peaks_medium,False,,,,True,0.525,0.5625,0.35
(hrv_rmssd_low) => hrv_rmssd_low meets eda_scr_amp_low,False,,,,True,0.575,0.6635,0.3833
(hrv_rmssd_low) => hrv_rmssd_low meets eda_scr_auc_medium,False,,,,True,0.575,0.6765,0.3833
(hrv_rmssd_low) => hrv_rmssd_low meets eda_std_high,True,0.5,0.5083,0.4098,False,,,
(hrv_rmssd_low) => hrv_rmssd_low meets valence_medium,True,0.66,0.66,0.541,True,0.625,0.625,0.4167
(hrv_rmssd_medium) => hrv_rmssd_medium before eda_peaks_medium,True,0.6471,0.6471,0.541,True,0.6154,0.6593,0.4
(hrv_rmssd_medium) => hrv_rmssd_medium before eda_scr_auc_medium,False,,,,True,0.5128,0.6033,0.3333
(hrv_rmssd_medium) => hrv_rmssd_medium equals hrv_sdnn_medium,True,0.5098,0.6479,0.4262,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets arousal_medium,True,0.7451,0.7451,0.623,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_max_medium,True,0.5098,0.5362,0.4262,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_scr_amp_low,False,,,,True,0.5128,0.5917,0.3333
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_scr_auc_high,True,0.5686,0.5686,0.4754,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets eda_std_high,True,0.5098,0.5183,0.4262,False,,,
(hrv_rmssd_medium) => hrv_rmssd_medium meets valence_medium,True,0.6471,0.6471,0.541,True,0.6923,0.6923,0.45
(hrv_sdnn_high) => hrv_sdnn_high before eda_scr_auc_medium,True,0.5179,0.5354,0.4754,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets arousal_medium,True,0.625,0.625,0.5738,True,0.5532,0.5626,0.4333
(hrv_sdnn_high) => hrv_sdnn_high meets eda_peaks_high,False,,,,True,0.5532,0.5532,0.4333
(hrv_sdnn_high) => hrv_sdnn_high meets eda_peaks_medium,True,0.5179,0.5179,0.4754,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets eda_scr_amp_low,False,,,,True,0.617,0.7119,0.4833
(hrv_sdnn_high) => hrv_sdnn_high meets eda_scr_auc_high,True,0.6071,0.6071,0.5574,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets eda_scr_auc_medium,False,,,,True,0.5319,0.6258,0.4167
(hrv_sdnn_high) => hrv_sdnn_high meets eda_std_high,True,0.5,0.5083,0.459,False,,,
(hrv_sdnn_high) => hrv_sdnn_high meets eda_std_medium,False,,,,True,0.5532,0.6035,0.4333
(hrv_sdnn_high) => hrv_sdnn_high meets valence_medium,True,0.5536,0.5536,0.5082,True,0.6596,0.6596,0.5167
(hrv_sdnn_low) => hrv_sdnn_low before eda_peaks_high,False,,,,True,0.6429,0.6429,0.45
(hrv_sdnn_low) => hrv_sdnn_low before eda_peaks_medium,True,0.58,0.58,0.4754,False,,,
(hrv_sdnn_low) => hrv_sdnn_low before eda_std_high,True,0.58,0.5897,0.4754,False,,,
(hrv_sdnn_low) => hrv_sdnn_low meets arousal_medium,True,0.64,0.64,0.5246,True,0.5714,0.5811,0.4
(hrv_sdnn_low) => hrv_sdnn_low meets eda_scr_amp_low,False,,,,True,0.5,0.5769,0.35
(hrv_sdnn_low) => hrv_sdnn_low meets eda_scr_auc_high,True,0.58,0.58,0.4754,False,,,
(hrv_sdnn_low) => hrv_sdnn_low meets eda_scr_auc_medium,False,,,,True,0.5476,0.6443,0.3833
(hrv_sdnn_low) => hrv_sdnn_low meets eda_std_medium,False,,,,True,0.5,0.5455,0.35
(hrv_sdnn_low) => hrv_sdnn_low meets valence_medium,True,0.62,0.62,0.5082,True,0.5238,0.5238,0.3667
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_peaks_medium,True,0.625,0.625,0.4918,True,0.575,0.6161,0.3833
(hrv_sdnn_medium) => hrv_sdnn_medium before eda_scr_amp_low,False,,,,True,0.525,0.6058,0.35
(hrv_sdnn_medium) => hrv_sdnn_medium meets arousal_medium,True,0.7708,0.7708,0.6066,True,0.575,0.5847,0.3833
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_max_medium,True,0.5208,0.5478,0.4098,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_medium,True,0.5,0.5259,0.3934,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_peaks_high,True,0.5833,0.5833,0.459,True,0.575,0.575,0.3833
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_amp_medium,True,0.5,0.5545,0.3934,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_auc_high,True,0.5417,0.5417,0.4262,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_auc_low,True,0.5208,0.611,0.4098,False,,,
(hrv_sdnn_medium) => hrv_sdnn_medium meets eda_scr_auc_medium,False,,,,True,0.625,0.7353,0.4167
(hrv_sdnn_medium) => hrv_sdnn_medium meets valence_medium,True,0.7292,0.7292,0.5738,True,0.725,0.725,0.4833
(temp_high) => temp_high before eda_peaks_medium,True,0.6226,0.6226,0.541,False,,,
(temp_high) => temp_high before eda_scr_amp_low,False,,,,True,0.5208,0.601,0.4167
(temp_high) => temp_high meets arousal_medium,True,0.6604,0.6604,0.5738,True,0.625,0.6356,0.5
(temp_high) => temp_high meets eda_peaks_high,False,,,,True,0.6667,0.6667,0.5333
(temp_high) => temp_high meets eda_scr_auc_high,True,0.5283,0.5283,0.459,False,,,
(temp_high) => temp_high meets eda_scr_auc_low,True,0.5094,0.5976,0.4426,False,,,
(temp_high) => temp_high meets eda_scr_auc_medium,False,,,,True,0.5417,0.6373,0.4333
(temp_high) => temp_high meets eda_std_high,True,0.5094,0.5179,0.4426,False,,,
(temp_high) => temp_high meets valence_medium,True,0.6038,0.6038,0.5246,True,0.6042,0.6042,0.4833
(temp_low) => temp_low before eda_peaks_high,False,,,,True,0.5238,0.5238,0.3667
(temp_low) => temp_low before eda_scr_auc_medium,True,0.5636,0.5827,0.5082,False,,,
(temp_low) => temp_low meets arousal_medium,True,0.6909,0.6909,0.623,True,0.5238,0.5327,0.3667
(temp_low) => temp_low meets eda_peaks_medium,True,0.5455,0.5455,0.4918,False,,,
(temp_low) => temp_low meets eda_scr_amp_low,False,,,,True,0.5,0.5769,0.35
(temp_low) => temp_low meets eda_scr_auc_high,True,0.6182,0.6182,0.5574,True,0.5,0.5085,0.35
(temp_low) => temp_low meets eda_scr_auc_medium,False,,,,True,0.5476,0.6443,0.3833
(temp_low) => temp_low meets eda_std_high,False,,,,True,0.5,0.5172,0.35
(temp_low) => temp_low meets eda_std_medium,True,0.5273,0.5361,0.4754,False,,,
(temp_low) => temp_low meets valence_medium,True,0.7455,0.7455,0.6721,True,0.5952,0.5952,0.4167
(temp_medium) => temp_medium before eda_peaks_high,False,,,,True,0.5854,0.5854,0.4
(temp_medium) => temp_medium before eda_scr_auc_medium,True,0.56,0.579,0.459,False,,,
(temp_medium) => temp_medium before eda_std_medium,True,0.5,0.5083,0.4098,False,,,
(temp_medium) => temp_medium meets arousal_medium,True,0.72,0.72,0.5902,True,0.6829,0.6945,0.4667
(temp_medium) => temp_medium meets eda_max_low,False,,,,True,0.5122,0.5209,0.35
(temp_medium) => temp_medium meets eda_peaks_medium,True,0.66,0.66,0.541,False,,,
(temp_medium) => temp_medium meets eda_scr_amp_low,False,,,,True,0.6585,0.7598,0.45
(temp_medium) => temp_medium meets eda_scr_auc_high,True,0.5,0.5,0.4098,False,,,
(temp_medium) => temp_medium meets eda_scr_auc_medium,False,,,,True,0.6341,0.7461,0.4333
(temp_medium) => temp_medium meets eda_std_medium,False,,,,True,0.6341,0.6918,0.4333
(temp_medium) => temp_medium meets valence_medium,True,0.68,0.68,0.5574,True,0.7561,0.7561,0.5167
(valence_high) => valence_high before arousal_medium,False,,,,True,0.5577,0.5671,0.4833
(valence_high) => valence_high before eda_peaks_high,False,,,,True,0.6346,0.6346,0.55
(valence_high) => valence_high before eda_peaks_medium,False,,,,True,0.6538,0.7005,0.5667
(valence_high) => valence_high before eda_scr_amp_low,False,,,,True,0.5385,0.6213,0.4667
(valence_high) => valence_high before valence_high,False,,,,True,0.5769,0.6657,0.5
(valence_high) => valence_high is-finished-by eda_scr_auc_low,True,0.6591,0.7732,0.4754,False,,,
(valence_high) => valence_high is-finished-by eda_scr_auc_medium,True,0.6818,0.7049,0.4918,False,,,
(valence_high) => valence_high meets arousal_medium,True,0.7727,0.7727,0.5574,False,,,
(valence_high) => valence_high meets eda_max_low,False,,,,True,0.5192,0.528,0.45
(valence_high) => valence_high meets eda_peaks_high,True,0.7273,0.7273,0.5246,False,,,
(valence_high) => valence_high meets eda_peaks_medium,True,0.6364,0.6364,0.459,False,,,
(valence_high) => valence_high meets eda_scr_amp_medium,True,0.5227,0.5798,0.377,False,,,
(valence_high) => valence_high meets eda_scr_auc_medium,False,,,,True,0.5192,0.6109,0.45
(valence_high) => valence_high meets eda_std_low,True,0.5455,0.5737,0.3934,False,,,
(valence_high) => valence_high meets eda_std_medium,True,0.5227,0.5314,0.377,False,,,
(valence_high) => valence_high meets valence_high,True,0.7045,0.9768,0.5082,False,,,
(valence_low) => valence_low before eda_peaks_medium,False,,,,True,0.5,0.5357,0.4333
(valence_low) => valence_low before eda_scr_amp_low,False,,,,True,0.5577,0.6435,0.4833
(valence_low) => valence_low before eda_scr_auc_medium,True,0.5455,0.5639,0.4918,False,,,
(valence_low) => valence_low before valence_low,True,0.6182,0.6856,0.5574,False,,,
(valence_low) => valence_low contains eda_peaks_low,True,0.5091,0.5091,0.459,False,,,
(valence_low) => valence_low contains eda_scr_auc_high,False,,,,True,0.5192,0.528,0.45
(valence_low) => valence_low contains eda_std_medium,False,,,,True,0.5,0.5455,0.4333
(valence_low) => valence_low contains hr_high,False,,,,True,0.5,0.5769,0.4333
(valence_low) => valence_low is-finished-by eda_peaks_high,True,0.5091,0.5091,0.459,True,0.7115,0.7115,0.6167
(valence_low) => valence_low is-finished-by eda_scr_amp_high,True,0.5091,0.5448,0.459,False,,,
(valence_low) => valence_low is-finished-by eda_scr_auc_high,True,0.6,0.6,0.541,False,,,
(valence_low) => valence_low is-finished-by eda_std_high,True,0.5636,0.573,0.5082,False,,,
(valence_low) => valence_low meets eda_max_low,False,,,,True,0.5,0.5085,0.4333
(valence_low) => valence_low meets valence_low,False,,,,True,0.5962,0.6879,0.5167
(valence_medium) => valence_medium contains eda_peaks_medium,False,,,,True,0.6667,0.7143,0.6667
(valence_medium) => valence_medium contains eda_scr_amp_high,True,0.541,0.5789,0.541,False,,,
(valence_medium) => valence_medium contains eda_scr_auc_medium,False,,,,True,0.5833,0.6863,0.5833
(valence_medium) => valence_medium contains eda_std_medium,False,,,,True,0.6833,0.7455,0.6833
(valence_medium) => valence_medium is-finished-by eda_peaks_high,False,,,,True,0.7333,0.7333,0.7333
(valence_medium) => valence_medium is-finished-by eda_peaks_medium,True,0.7377,0.7377,0.7377,False,,,
(valence_medium) => valence_medium is-finished-by eda_scr_amp_low,False,,,,True,0.6167,0.7115,0.6167
(valence_medium) => valence_medium is-finished-by eda_scr_auc_high,True,0.7541,0.7541,0.7541,False,,,
(valence_medium) => valence_medium is-finished-by eda_scr_auc_low,True,0.5082,0.5962,0.5082,False,,,
(valence_medium) => valence_medium is-finished-by eda_std_high,False,,,,True,0.6,0.6207,0.6
(valence_medium) => valence_medium is-finished-by eda_std_medium,True,0.7541,0.7667,0.7541,False,,,
(valence_medium) => valence_medium meets arousal_medium,True,0.8197,0.8197,0.8197,True,0.5333,0.5424,0.5333
(valence_medium) => valence_medium meets eda_high,False,,,,True,0.5667,0.5763,0.5667
(valence_medium) => valence_medium meets eda_max_low,False,,,,True,0.5667,0.5763,0.5667
(valence_medium) => valence_medium meets eda_peaks_high,True,0.5574,0.5574,0.5574,False,,,
(valence_medium) => valence_medium meets eda_scr_amp_medium,True,0.541,0.6,0.541,False,,,
(valence_medium) => valence_medium meets eda_scr_auc_high,False,,,,True,0.6333,0.6441,0.6333
(valence_medium) => valence_medium meets eda_scr_auc_medium,True,0.7213,0.7458,0.7213,False,,,
(valence_medium) => valence_medium meets valence_medium,True,0.7049,0.7049,0.7049,True,0.7167,0.7167,0.7167
(valence_medium) => valence_medium starts eda_std_high,True,0.5246,0.5333,0.5246,False,,,
