rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(arousal_high) => arousal_high before arousal_high,True,0.7111,0.7901,0.64,False,,,
(arousal_high) => arousal_high before eda_max_low,True,0.5111,0.5324,0.46,False,,,
(arousal_high) => arousal_high before eda_std_high,False,,,,True,0.5909,0.608,0.5493
(arousal_high) => arousal_high before hr_high,True,0.6222,0.7235,0.56,False,,,
(arousal_high) => arousal_high before hr_medium,True,0.5778,0.6718,0.52,False,,,
(arousal_high) => arousal_high contains eda_peaks_high,False,,,,True,0.5758,0.5758,0.5352
(arousal_high) => arousal_high contains eda_peaks_medium,True,0.6444,0.6856,0.58,True,0.697,0.7069,0.6479
(arousal_high) => arousal_high equals valence_medium,True,0.5111,0.5111,0.46,False,,,
(arousal_high) => arousal_high is-finished-by eda_peaks_high,True,0.6444,0.6444,0.58,False,,,
(arousal_high) => arousal_high is-finished-by eda_scr_amp_low,True,0.5111,0.5808,0.46,False,,,
(arousal_high) => arousal_high is-finished-by eda_scr_auc_high,False,,,,True,0.5303,0.5303,0.493
(arousal_high) => arousal_high is-finished-by eda_scr_auc_medium,True,0.5333,0.6202,0.48,True,0.6667,0.7065,0.6197
(arousal_high) => arousal_high is-finished-by eda_std_medium,False,,,,True,0.6061,0.6061,0.5634
(arousal_high) => arousal_high meets arousal_high,False,,,,True,0.5758,0.6194,0.5352
(arousal_high) => arousal_high meets eda_scr_amp_high,False,,,,True,0.5303,0.5457,0.493
(arousal_high) => arousal_high meets valence_medium,False,,,,True,0.5758,0.5758,0.5352
(arousal_low) => arousal_low before arousal_low,True,0.6098,0.7436,0.5,False,,,
(arousal_low) => arousal_low before eda_peaks_high,False,,,,True,0.746,0.746,0.662
(arousal_low) => arousal_low before eda_scr_auc_low,True,0.561,0.7192,0.46,False,,,
(arousal_low) => arousal_low before eda_scr_auc_medium,True,0.561,0.6523,0.46,False,,,
(arousal_low) => arousal_low before eda_std_low,True,0.5366,0.6239,0.44,False,,,
(arousal_low) => arousal_low before valence_medium,True,0.7805,0.7805,0.64,False,,,
(arousal_low) => arousal_low contains eda_peaks_high,True,0.6829,0.6829,0.56,False,,,
(arousal_low) => arousal_low contains eda_std_high,False,,,,True,0.5873,0.6043,0.5211
(arousal_low) => arousal_low equals eda_peaks_medium,False,,,,True,0.746,0.7567,0.662
(arousal_low) => arousal_low equals eda_std_low,False,,,,True,0.5238,0.5722,0.4648
(arousal_low) => arousal_low is-finished-by eda_peaks_medium,True,0.7561,0.8044,0.62,False,,,
(arousal_low) => arousal_low meets arousal_low,False,,,,True,0.6508,0.7334,0.5775
(arousal_low) => arousal_low meets eda_scr_auc_medium,False,,,,True,0.746,0.7906,0.662
(arousal_low) => arousal_low meets eda_std_medium,False,,,,True,0.6349,0.6349,0.5634
(arousal_low) => arousal_low overlaps eda_scr_amp_low,False,,,,True,0.5079,0.5548,0.4507
(arousal_low) => arousal_low starts valence_medium,False,,,,True,0.7619,0.7619,0.6761
(arousal_medium) => arousal_medium before valence_high,True,0.5102,0.5798,0.5,False,,,
(arousal_medium) => arousal_medium contains eda_peaks_medium,False,,,,True,0.7324,0.7429,0.7324
(arousal_medium) => arousal_medium contains eda_scr_amp_high,False,,,,True,0.5634,0.5797,0.5634
(arousal_medium) => arousal_medium contains eda_scr_auc_high,False,,,,True,0.7042,0.7042,0.7042
(arousal_medium) => arousal_medium contains eda_scr_auc_low,False,,,,True,0.507,0.5902,0.507
(arousal_medium) => arousal_medium contains eda_scr_auc_medium,False,,,,True,0.6901,0.7313,0.6901
(arousal_medium) => arousal_medium contains hr_high,True,0.5102,0.5933,0.5,False,,,
(arousal_medium) => arousal_medium contains hr_medium,True,0.6327,0.7356,0.62,False,,,
(arousal_medium) => arousal_medium equals eda_high,True,0.551,0.551,0.54,False,,,
(arousal_medium) => arousal_medium equals eda_max_low,False,,,,True,0.5211,0.5211,0.5211
(arousal_medium) => arousal_medium equals valence_medium,True,0.6735,0.6735,0.66,True,0.7746,0.7746,0.7746
(arousal_medium) => arousal_medium is-finished-by eda_peaks_high,False,,,,True,0.662,0.662,0.662
(arousal_medium) => arousal_medium is-finished-by eda_peaks_medium,True,0.7551,0.8033,0.74,False,,,
(arousal_medium) => arousal_medium is-finished-by eda_scr_amp_low,True,0.6122,0.6957,0.6,True,0.507,0.5538,0.507
(arousal_medium) => arousal_medium is-finished-by eda_scr_auc_high,True,0.6939,0.708,0.68,False,,,
(arousal_medium) => arousal_medium is-finished-by eda_scr_auc_low,True,0.5714,0.7326,0.56,False,,,
(arousal_medium) => arousal_medium is-finished-by eda_std_medium,True,0.7347,0.8349,0.72,True,0.7465,0.7465,0.7465
(arousal_medium) => arousal_medium meets arousal_medium,True,0.7959,0.8122,0.78,True,0.7465,0.7465,0.7465
(arousal_medium) => arousal_medium meets eda_peaks_high,True,0.8163,0.8163,0.8,False,,,
(arousal_medium) => arousal_medium meets eda_scr_auc_medium,True,0.7551,0.878,0.74,False,,,
(arousal_medium) => arousal_medium meets eda_std_low,True,0.551,0.6407,0.54,False,,,
(arousal_medium) => arousal_medium starts eda_std_high,False,,,,True,0.6197,0.6377,0.6197
(eda_high) => eda_high before eda_peaks_high,True,0.66,0.66,0.66,False,,,
(eda_high) => eda_high before eda_scr_auc_medium,True,0.58,0.6744,0.58,False,,,
(eda_high) => eda_high contains eda_peaks_medium,False,,,,True,0.7857,0.7969,0.7746
(eda_high) => eda_high contains eda_scr_amp_high,True,0.5,0.5319,0.5,True,0.6,0.6174,0.5915
(eda_high) => eda_high contains eda_scr_amp_low,False,,,,True,0.6,0.6554,0.5915
(eda_high) => eda_high contains eda_scr_auc_high,False,,,,True,0.7714,0.7714,0.7606
(eda_high) => eda_high contains eda_scr_auc_low,False,,,,True,0.5286,0.6152,0.5211
(eda_high) => eda_high contains eda_scr_auc_medium,False,,,,True,0.5857,0.6207,0.5775
(eda_high) => eda_high contains hr_high,True,0.56,0.6512,0.56,False,,,
(eda_high) => eda_high contains hr_medium,True,0.54,0.6279,0.54,False,,,
(eda_high) => eda_high equals eda_max_high,False,,,,True,0.8571,0.8571,0.8451
(eda_high) => eda_high equals eda_std_high,True,0.52,0.5306,0.52,True,0.7429,0.7644,0.7324
(eda_high) => eda_high equals valence_medium,False,,,,True,0.6143,0.6143,0.6056
(eda_high) => eda_high is-finished-by eda_peaks_high,False,,,,True,0.5714,0.5714,0.5634
(eda_high) => eda_high is-finished-by eda_scr_auc_high,True,0.7,0.7143,0.7,False,,,
(eda_high) => eda_high is-finished-by eda_std_medium,False,,,,True,0.6143,0.6143,0.6056
(eda_high) => eda_high meets arousal_medium,False,,,,True,0.6,0.6,0.5915
(eda_high) => eda_high meets eda_high,True,0.78,0.78,0.78,True,0.7857,0.7969,0.7746
(eda_high) => eda_high overlaps eda_peaks_medium,True,0.74,0.7872,0.74,False,,,
(eda_high) => eda_high overlaps eda_scr_amp_low,True,0.68,0.7727,0.68,False,,,
(eda_high) => eda_high overlaps eda_scr_auc_low,True,0.5,0.641,0.5,False,,,
(eda_high) => eda_high overlaps eda_std_medium,True,0.68,0.7727,0.68,False,,,
(eda_high) => eda_high starts arousal_medium,True,0.62,0.6327,0.62,False,,,
(eda_high) => eda_high starts eda_max_high,True,0.76,0.7917,0.76,False,,,
(eda_high) => eda_high starts valence_medium,True,0.58,0.58,0.58,False,,,
(eda_low) => eda_low before eda_max_low,True,0.6596,0.6871,0.62,False,,,
(eda_low) => eda_low before eda_peaks_medium,False,,,,True,0.8028,0.8143,0.8028
(eda_low) => eda_low before eda_scr_amp_low,True,0.5532,0.6286,0.52,False,,,
(eda_low) => eda_low before eda_scr_auc_medium,False,,,,True,0.6056,0.6418,0.6056
(eda_low) => eda_low before eda_std_medium,False,,,,True,0.7746,0.7746,0.7746
(eda_low) => eda_low contains eda_scr_auc_high,True,0.5745,0.5862,0.54,False,,,
(eda_low) => eda_low equals eda_scr_auc_low,False,,,,True,0.5211,0.6066,0.5211
(eda_low) => eda_low is-finished-by eda_max_low,False,,,,True,0.8028,0.8028,0.8028
(eda_low) => eda_low is-finished-by eda_peaks_high,True,0.7021,0.7021,0.66,False,,,
(eda_low) => eda_low is-finished-by eda_scr_amp_high,True,0.5745,0.6111,0.54,False,,,
(eda_low) => eda_low meets arousal_medium,True,0.6383,0.6513,0.6,True,0.6338,0.6338,0.6338
(eda_low) => eda_low meets eda_low,True,0.617,0.6564,0.58,True,0.5634,0.5634,0.5634
(eda_low) => eda_low meets eda_max_medium,True,0.5319,0.5541,0.5,False,,,
(eda_low) => eda_low meets eda_peaks_high,False,,,,True,0.6056,0.6056,0.6056
(eda_low) => eda_low meets eda_peaks_medium,True,0.6596,0.7017,0.62,False,,,
(eda_low) => eda_low meets eda_scr_amp_high,False,,,,True,0.5211,0.5362,0.5211
(eda_low) => eda_low meets eda_scr_auc_high,False,,,,True,0.6901,0.6901,0.6901
(eda_low) => eda_low meets eda_scr_auc_low,True,0.6596,0.8456,0.62,False,,,
(eda_low) => eda_low meets eda_std_high,False,,,,True,0.662,0.6812,0.662
(eda_low) => eda_low meets eda_std_low,True,0.5106,0.5938,0.48,False,,,
(eda_low) => eda_low meets valence_medium,True,0.7447,0.7447,0.7,True,0.7746,0.7746,0.7746
(eda_max_high) => eda_max_high before eda_std_high,False,,,,True,0.6761,0.6957,0.6761
(eda_max_high) => eda_max_high contains eda_peaks_medium,False,,,,True,0.7606,0.7714,0.7606
(eda_max_high) => eda_max_high contains eda_scr_amp_high,True,0.5625,0.5984,0.54,True,0.6056,0.6232,0.6056
(eda_max_high) => eda_max_high contains eda_scr_auc_high,False,,,,True,0.7746,0.7746,0.7746
(eda_max_high) => eda_max_high contains eda_scr_auc_low,False,,,,True,0.5493,0.6393,0.5493
(eda_max_high) => eda_max_high contains eda_scr_auc_medium,False,,,,True,0.5775,0.6119,0.5775
(eda_max_high) => eda_max_high equals eda_std_high,True,0.5625,0.574,0.54,False,,,
(eda_max_high) => eda_max_high equals valence_medium,True,0.5208,0.5208,0.5,True,0.5915,0.5915,0.5915
(eda_max_high) => eda_max_high is-finished-by eda_peaks_high,False,,,,True,0.507,0.507,0.507
(eda_max_high) => eda_max_high is-finished-by eda_peaks_medium,True,0.7083,0.7535,0.68,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_amp_low,True,0.6042,0.6866,0.58,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_scr_auc_high,True,0.75,0.7653,0.72,False,,,
(eda_max_high) => eda_max_high is-finished-by eda_std_medium,True,0.5833,0.6629,0.56,True,0.6338,0.6338,0.6338
(eda_max_high) => eda_max_high meets arousal_medium,True,0.5625,0.574,0.54,True,0.5352,0.5352,0.5352
(eda_max_high) => eda_max_high meets eda_high,True,0.6458,0.6458,0.62,True,0.6197,0.6286,0.6197
(eda_max_high) => eda_max_high meets eda_max_high,True,0.6875,0.7161,0.66,True,0.5915,0.5915,0.5915
(eda_max_high) => eda_max_high meets eda_peaks_high,True,0.6458,0.6458,0.62,False,,,
(eda_max_high) => eda_max_high meets eda_scr_auc_medium,True,0.5417,0.6298,0.52,False,,,
(eda_max_high) => eda_max_high overlaps eda_scr_amp_low,False,,,,True,0.6197,0.6769,0.6197
(eda_max_low) => eda_max_low before arousal_medium,False,,,,True,0.6479,0.6479,0.6479
(eda_max_low) => eda_max_low before eda_low,True,0.625,0.6649,0.6,True,0.6338,0.6338,0.6338
(eda_max_low) => eda_max_low before eda_max_low,True,0.7708,0.803,0.74,True,0.7042,0.7042,0.7042
(eda_max_low) => eda_max_low before eda_scr_amp_low,True,0.5417,0.6155,0.52,False,,,
(eda_max_low) => eda_max_low before eda_scr_auc_high,False,,,,True,0.5915,0.5915,0.5915
(eda_max_low) => eda_max_low before eda_scr_auc_low,True,0.5833,0.7479,0.56,True,0.507,0.5902,0.507
(eda_max_low) => eda_max_low before eda_std_low,True,0.5208,0.6056,0.5,False,,,
(eda_max_low) => eda_max_low before valence_medium,True,0.7292,0.7292,0.7,True,0.831,0.831,0.831
(eda_max_low) => eda_max_low contains eda_peaks_high,True,0.75,0.75,0.72,False,,,
(eda_max_low) => eda_max_low contains eda_scr_auc_high,True,0.5208,0.5315,0.5,False,,,
(eda_max_low) => eda_max_low contains eda_std_medium,True,0.5208,0.5919,0.5,False,,,
(eda_max_low) => eda_max_low equals eda_peaks_high,False,,,,True,0.7465,0.7465,0.7465
(eda_max_low) => eda_max_low equals eda_std_medium,False,,,,True,0.7324,0.7324,0.7324
(eda_max_low) => eda_max_low is-finished-by eda_peaks_medium,True,0.6875,0.7314,0.66,True,0.7887,0.8,0.7887
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_medium,False,,,,True,0.7324,0.7761,0.7324
(eda_max_low) => eda_max_low is-finished-by eda_std_high,False,,,,True,0.5634,0.5797,0.5634
(eda_max_low) => eda_max_low is-finished-by hr_medium,True,0.5417,0.6298,0.52,False,,,
(eda_max_low) => eda_max_low meets arousal_medium,True,0.6042,0.6165,0.58,False,,,
(eda_max_low) => eda_max_low meets eda_scr_auc_medium,True,0.6042,0.7025,0.58,False,,,
(eda_max_medium) => eda_max_medium before arousal_medium,False,,,,True,0.6364,0.6364,0.5915
(eda_max_medium) => eda_max_medium before eda_max_medium,False,,,,True,0.6061,0.652,0.5634
(eda_max_medium) => eda_max_medium before eda_medium,False,,,,True,0.6667,0.7396,0.6197
(eda_max_medium) => eda_max_medium before eda_peaks_high,False,,,,True,0.5758,0.5758,0.5352
(eda_max_medium) => eda_max_medium before eda_scr_amp_high,True,0.5,0.5319,0.48,False,,,
(eda_max_medium) => eda_max_medium before eda_scr_auc_low,False,,,,True,0.5,0.582,0.4648
(eda_max_medium) => eda_max_medium before valence_medium,False,,,,True,0.6818,0.6818,0.6338
(eda_max_medium) => eda_max_medium contains eda_peaks_medium,True,0.6458,0.6871,0.62,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_amp_low,True,0.5625,0.6392,0.54,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_high,True,0.5833,0.5952,0.56,False,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_medium,True,0.5,0.5814,0.48,False,,,
(eda_max_medium) => eda_max_medium contains hr_high,True,0.5417,0.6298,0.52,False,,,
(eda_max_medium) => eda_max_medium equals eda_peaks_medium,False,,,,True,0.6818,0.6916,0.6338
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_amp_low,False,,,,True,0.5152,0.5627,0.4789
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_auc_medium,False,,,,True,0.6061,0.6422,0.5634
(eda_max_medium) => eda_max_medium is-finished-by eda_std_high,False,,,,True,0.6061,0.6236,0.5634
(eda_max_medium) => eda_max_medium is-finished-by eda_std_medium,False,,,,True,0.6364,0.6364,0.5915
(eda_max_medium) => eda_max_medium meets arousal_medium,True,0.7083,0.7228,0.68,False,,,
(eda_max_medium) => eda_max_medium meets eda_max_medium,True,0.5625,0.5859,0.54,False,,,
(eda_max_medium) => eda_max_medium meets eda_medium,True,0.7292,0.7757,0.7,False,,,
(eda_max_medium) => eda_max_medium meets eda_peaks_high,True,0.7292,0.7292,0.7,False,,,
(eda_max_medium) => eda_max_medium meets eda_scr_auc_high,False,,,,True,0.6667,0.6667,0.6197
(eda_max_medium) => eda_max_medium meets eda_scr_auc_low,True,0.5208,0.6677,0.5,False,,,
(eda_max_medium) => eda_max_medium meets eda_std_high,True,0.5625,0.574,0.54,False,,,
(eda_max_medium) => eda_max_medium meets eda_std_low,True,0.5,0.5814,0.48,False,,,
(eda_max_medium) => eda_max_medium meets hr_medium,True,0.5208,0.6056,0.5,False,,,
(eda_max_medium) => eda_max_medium meets valence_medium,True,0.6667,0.6667,0.64,False,,,
(eda_medium) => eda_medium before eda_scr_auc_high,True,0.5532,0.5645,0.52,False,,,
(eda_medium) => eda_medium contains eda_peaks_high,False,,,,True,0.6875,0.6875,0.6197
(eda_medium) => eda_medium contains eda_scr_auc_medium,False,,,,True,0.6719,0.712,0.6056
(eda_medium) => eda_medium contains eda_std_medium,False,,,,True,0.6406,0.6406,0.5775
(eda_medium) => eda_medium is-finished-by eda_scr_amp_low,False,,,,True,0.5312,0.5803,0.4789
(eda_medium) => eda_medium is-finished-by eda_std_high,False,,,,True,0.6094,0.627,0.5493
(eda_medium) => eda_medium meets arousal_medium,True,0.6383,0.6513,0.6,True,0.7031,0.7031,0.6338
(eda_medium) => eda_medium meets eda_max_medium,False,,,,True,0.6094,0.6555,0.5493
(eda_medium) => eda_medium meets eda_medium,True,0.617,0.6564,0.58,True,0.7656,0.8494,0.6901
(eda_medium) => eda_medium meets eda_peaks_high,True,0.6596,0.6596,0.62,False,,,
(eda_medium) => eda_medium meets eda_peaks_medium,True,0.6809,0.7243,0.64,True,0.6562,0.6656,0.5915
(eda_medium) => eda_medium meets eda_scr_amp_high,False,,,,True,0.5,0.5145,0.4507
(eda_medium) => eda_medium meets eda_scr_auc_high,False,,,,True,0.6719,0.6719,0.6056
(eda_medium) => eda_medium meets eda_scr_auc_low,True,0.5319,0.6819,0.5,True,0.5469,0.6365,0.493
(eda_medium) => eda_medium meets eda_scr_auc_medium,True,0.5319,0.6185,0.5,False,,,
(eda_medium) => eda_medium meets valence_medium,True,0.6596,0.6596,0.62,True,0.7656,0.7656,0.6901
(eda_medium) => eda_medium overlaps eda_peaks_low,False,,,,True,0.5156,0.5306,0.4648
(eda_peaks_high) => eda_peaks_high before eda_peaks_high,False,,,,True,0.5634,0.5634,0.5634
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_high,False,,,,True,0.5211,0.5211,0.5211
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_medium,True,0.66,0.7674,0.66,False,,,
(eda_peaks_high) => eda_peaks_high before eda_std_high,False,,,,True,0.5493,0.5652,0.5493
(eda_peaks_high) => eda_peaks_high before eda_std_low,False,,,,True,0.5352,0.5846,0.5352
(eda_peaks_high) => eda_peaks_high equals eda_scr_auc_medium,False,,,,True,0.6056,0.6418,0.6056
(eda_peaks_high) => eda_peaks_high equals eda_std_low,True,0.54,0.6279,0.54,False,,,
(eda_peaks_high) => eda_peaks_high meets arousal_medium,False,,,,True,0.6056,0.6056,0.6056
(eda_peaks_high) => eda_peaks_high meets eda_peaks_high,True,0.56,0.56,0.56,False,,,
(eda_peaks_high) => eda_peaks_high meets eda_peaks_medium,True,0.7,0.7447,0.7,True,0.7324,0.7429,0.7324
(eda_peaks_high) => eda_peaks_high meets eda_std_medium,True,0.58,0.6591,0.58,True,0.6901,0.6901,0.6901
(eda_peaks_high) => eda_peaks_high meets valence_medium,True,0.6,0.6,0.6,False,,,
(eda_peaks_high) => eda_peaks_high starts valence_medium,False,,,,True,0.6056,0.6056,0.6056
(eda_peaks_low) => eda_peaks_low before eda_scr_auc_low,False,,,,True,0.5362,0.6241,0.5211
(eda_peaks_low) => eda_peaks_low equals eda_scr_auc_high,True,0.75,0.7653,0.72,False,,,
(eda_peaks_low) => eda_peaks_low equals eda_std_high,True,0.7292,0.744,0.7,True,0.5942,0.6114,0.5775
(eda_peaks_low) => eda_peaks_low equals valence_medium,False,,,,True,0.6087,0.6087,0.5915
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_amp_high,True,0.5625,0.5984,0.54,True,0.5652,0.5816,0.5493
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_auc_high,False,,,,True,0.7681,0.7681,0.7465
(eda_peaks_low) => eda_peaks_low meets eda_peaks_high,True,0.5208,0.5208,0.5,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_peaks_medium,True,0.7292,0.7757,0.7,True,0.6812,0.6909,0.662
(eda_peaks_low) => eda_peaks_low meets eda_scr_amp_low,True,0.625,0.7102,0.6,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_low,True,0.625,0.8013,0.6,False,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_medium,False,,,,True,0.5072,0.5375,0.493
(eda_peaks_low) => eda_peaks_low meets eda_std_medium,True,0.5833,0.6629,0.56,False,,,
(eda_peaks_low) => eda_peaks_low overlaps eda_scr_amp_low,False,,,,True,0.5072,0.5541,0.493
(eda_peaks_low) => eda_peaks_low overlaps eda_std_medium,False,,,,True,0.6812,0.6812,0.662
(eda_peaks_low) => eda_peaks_low starts arousal_medium,True,0.5208,0.5315,0.5,True,0.5507,0.5507,0.5352
(eda_peaks_low) => eda_peaks_low starts eda_high,True,0.6042,0.6042,0.58,False,,,
(eda_peaks_low) => eda_peaks_low starts valence_medium,True,0.5208,0.5208,0.5,False,,,
(eda_peaks_medium) => eda_peaks_medium before arousal_medium,False,,,,True,0.5429,0.5429,0.5352
(eda_peaks_medium) => eda_peaks_medium before eda_peaks_medium,False,,,,True,0.5,0.5071,0.493
(eda_peaks_medium) => eda_peaks_medium before eda_std_high,False,,,,True,0.6,0.6174,0.5915
(eda_peaks_medium) => eda_peaks_medium before eda_std_medium,False,,,,True,0.6143,0.6143,0.6056
(eda_peaks_medium) => eda_peaks_medium before valence_high,True,0.5106,0.5803,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_amp_low,False,,,,True,0.5143,0.5618,0.507
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_auc_low,True,0.5106,0.6547,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_std_medium,True,0.5957,0.677,0.56,False,,,
(eda_peaks_medium) => eda_peaks_medium is-finished-by eda_scr_auc_low,False,,,,True,0.6,0.6984,0.5915
(eda_peaks_medium) => eda_peaks_medium is-finished-by hr_medium,True,0.5106,0.5938,0.48,False,,,
(eda_peaks_medium) => eda_peaks_medium meets arousal_medium,True,0.5319,0.5428,0.5,False,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_peaks_high,True,0.7447,0.7447,0.7,True,0.6,0.6,0.5915
(eda_peaks_medium) => eda_peaks_medium meets eda_scr_auc_medium,True,0.7234,0.8412,0.68,True,0.6286,0.6661,0.6197
(eda_peaks_medium) => eda_peaks_medium meets eda_std_low,True,0.5532,0.6432,0.52,False,,,
(eda_peaks_medium) => eda_peaks_medium meets valence_medium,True,0.5319,0.5319,0.5,True,0.6143,0.6143,0.6056
(eda_peaks_medium) => eda_peaks_medium overlaps eda_scr_auc_high,False,,,,True,0.5714,0.5714,0.5634
(eda_scr_amp_high) => eda_scr_amp_high equals eda_scr_auc_high,True,0.8511,0.8684,0.8,True,0.8551,0.8551,0.831
