rule,F_present,F_confidence,F_lift,F_support,M_present,M_confidence,M_lift,M_support
(eda_scr_amp_high) => eda_scr_amp_high meets eda_peaks_medium,True,0.617,0.6564,0.58,True,0.5652,0.5733,0.5493
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_amp_low,True,0.5745,0.6528,0.54,True,0.5507,0.6016,0.5352
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_auc_low,True,0.5745,0.7365,0.54,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts arousal_medium,True,0.5106,0.5211,0.48,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_high,True,0.5319,0.5319,0.5,False,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_high,True,0.617,0.6296,0.58,True,0.7101,0.7307,0.6901
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_medium,False,,,,True,0.6232,0.6232,0.6056
(eda_scr_amp_high) => eda_scr_amp_high starts valence_medium,False,,,,True,0.6232,0.6232,0.6056
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_amp_low,False,,,,True,0.5231,0.5714,0.4789
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_auc_medium,False,,,,True,0.5846,0.6195,0.5352
(eda_scr_amp_low) => eda_scr_amp_low before eda_std_medium,False,,,,True,0.6308,0.6308,0.5775
(eda_scr_amp_low) => eda_scr_amp_low equals eda_scr_auc_low,True,0.7045,0.9033,0.62,True,0.6615,0.77,0.6056
(eda_scr_amp_low) => eda_scr_amp_low equals eda_std_medium,True,0.5455,0.6198,0.48,False,,,
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by hr_medium,True,0.5,0.5814,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets arousal_medium,True,0.5,0.5102,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_peaks_high,True,0.5,0.5,0.44,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_peaks_medium,True,0.5682,0.6044,0.5,True,0.6154,0.6242,0.5634
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_high,False,,,,True,0.5077,0.5224,0.4648
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_low,True,0.5682,0.6457,0.5,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_high,True,0.6136,0.6262,0.54,True,0.6769,0.6769,0.6197
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_medium,True,0.6364,0.74,0.56,False,,,
(eda_scr_amp_low) => eda_scr_amp_low meets valence_medium,True,0.6591,0.6591,0.58,True,0.6154,0.6154,0.5634
(eda_scr_amp_low) => eda_scr_amp_low starts eda_std_high,False,,,,True,0.6615,0.6807,0.6056
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_peaks_medium,True,0.5,0.5319,0.36,True,0.5849,0.5933,0.4366
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_amp_low,True,0.5278,0.5997,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_auc_low,True,0.5,0.641,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_scr_auc_medium,True,0.5,0.5814,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before eda_std_medium,True,0.6111,0.6944,0.44,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium before hr_high,True,0.5,0.5814,0.36,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium equals eda_std_high,False,,,,True,0.7547,0.7766,0.5634
(eda_scr_amp_medium) => eda_scr_amp_medium is-finished-by eda_peaks_high,False,,,,True,0.5472,0.5472,0.4085
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_peaks_high,True,0.5278,0.5278,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_scr_amp_high,True,0.5556,0.591,0.4,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_scr_auc_high,False,,,,True,0.7358,0.7358,0.5493
(eda_scr_amp_medium) => eda_scr_amp_medium meets eda_std_medium,False,,,,True,0.566,0.566,0.4225
(eda_scr_amp_medium) => eda_scr_amp_medium starts arousal_medium,True,0.5,0.5102,0.36,True,0.6792,0.6792,0.507
(eda_scr_amp_medium) => eda_scr_amp_medium starts eda_scr_auc_high,True,0.7778,0.7937,0.56,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium starts eda_std_high,True,0.5278,0.5385,0.38,False,,,
(eda_scr_amp_medium) => eda_scr_amp_medium starts valence_medium,True,0.5278,0.5278,0.38,True,0.6226,0.6226,0.4648
(eda_scr_auc_high) => eda_scr_auc_high before eda_peaks_high,True,0.5918,0.5918,0.58,False,,,
(eda_scr_auc_high) => eda_scr_auc_high before eda_scr_auc_low,False,,,,True,0.5634,0.6557,0.5634
(eda_scr_auc_high) => eda_scr_auc_high equals eda_std_high,True,0.7143,0.7289,0.7,False,,,
(eda_scr_auc_high) => eda_scr_auc_high meets eda_max_low,False,,,,True,0.507,0.507,0.507
(eda_scr_auc_high) => eda_scr_auc_high meets eda_peaks_high,False,,,,True,0.5211,0.5211,0.5211
(eda_scr_auc_high) => eda_scr_auc_high meets eda_peaks_medium,True,0.6122,0.6513,0.6,True,0.6197,0.6286,0.6197
(eda_scr_auc_high) => eda_scr_auc_high meets eda_scr_amp_low,True,0.5918,0.6725,0.58,False,,,
(eda_scr_auc_high) => eda_scr_auc_high meets eda_scr_auc_low,True,0.5306,0.6803,0.52,False,,,
(eda_scr_auc_high) => eda_scr_auc_high meets eda_std_medium,True,0.7143,0.8117,0.7,False,,,
(eda_scr_auc_high) => eda_scr_auc_high overlaps eda_scr_amp_low,False,,,,True,0.5211,0.5692,0.5211
(eda_scr_auc_high) => eda_scr_auc_high starts arousal_medium,True,0.5918,0.6039,0.58,True,0.5352,0.5352,0.5352
(eda_scr_auc_high) => eda_scr_auc_high starts eda_high,True,0.5918,0.5918,0.58,False,,,
(eda_scr_auc_high) => eda_scr_auc_high starts eda_std_high,False,,,,True,0.7887,0.8116,0.7887
(eda_scr_auc_high) => eda_scr_auc_high starts eda_std_medium,False,,,,True,0.7183,0.7183,0.7183
(eda_scr_auc_high) => eda_scr_auc_high starts valence_medium,True,0.5918,0.5918,0.58,True,0.6479,0.6479,0.6479
(eda_scr_auc_low) => eda_scr_auc_low before eda_peaks_medium,False,,,,True,0.541,0.5487,0.4648
(eda_scr_auc_low) => eda_scr_auc_low before eda_std_medium,False,,,,True,0.5738,0.5738,0.493
(eda_scr_auc_low) => eda_scr_auc_low equals eda_std_medium,True,0.5641,0.641,0.44,False,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_peaks_high,True,0.5128,0.5128,0.4,False,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_peaks_medium,True,0.5641,0.6001,0.44,False,,,
(eda_scr_auc_low) => eda_scr_auc_low meets eda_scr_auc_high,False,,,,True,0.5738,0.5738,0.493
(eda_scr_auc_low) => eda_scr_auc_low meets eda_scr_auc_medium,True,0.7179,0.8348,0.56,True,0.6066,0.6428,0.5211
(eda_scr_auc_low) => eda_scr_auc_low starts eda_std_high,False,,,,True,0.5082,0.5229,0.4366
(eda_scr_auc_low) => eda_scr_auc_low starts valence_medium,False,,,,True,0.5246,0.5246,0.4507
(eda_scr_auc_medium) => eda_scr_auc_medium before eda_peaks_medium,True,0.5349,0.569,0.46,True,0.7015,0.7115,0.662
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_amp_low,True,0.5116,0.5814,0.44,False,,,
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_auc_high,False,,,,True,0.5672,0.5672,0.5352
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_scr_auc_low,True,0.5349,0.6857,0.46,False,,,
(eda_scr_auc_medium) => eda_scr_auc_medium meets eda_std_medium,False,,,,True,0.6866,0.6866,0.6479
(eda_scr_auc_medium) => eda_scr_auc_medium starts arousal_medium,True,0.5814,0.5933,0.5,True,0.5224,0.5224,0.493
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_peaks_high,True,0.5581,0.5581,0.48,False,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_std_low,True,0.5814,0.676,0.5,False,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts eda_std_medium,True,0.6512,0.74,0.56,False,,,
(eda_scr_auc_medium) => eda_scr_auc_medium starts valence_medium,True,0.6512,0.6512,0.56,True,0.5821,0.5821,0.5493
(eda_std_high) => eda_std_high before eda_peaks_medium,False,,,,True,0.6667,0.6762,0.6479
(eda_std_high) => eda_std_high is-finished-by eda_scr_auc_high,True,0.6531,0.6664,0.64,False,,,
(eda_std_high) => eda_std_high meets eda_peaks_high,True,0.5714,0.5714,0.56,True,0.5217,0.5217,0.507
(eda_std_high) => eda_std_high meets eda_peaks_medium,True,0.6531,0.6947,0.64,False,,,
(eda_std_high) => eda_std_high meets eda_scr_amp_low,True,0.6327,0.7189,0.62,False,,,
(eda_std_high) => eda_std_high meets eda_scr_auc_high,False,,,,True,0.5072,0.5072,0.493
(eda_std_high) => eda_std_high meets eda_scr_auc_low,True,0.5918,0.7588,0.58,True,0.5652,0.6579,0.5493
(eda_std_high) => eda_std_high meets eda_std_medium,True,0.7755,0.8813,0.76,True,0.7826,0.7826,0.7606
(eda_std_high) => eda_std_high overlaps eda_scr_amp_low,False,,,,True,0.5507,0.6016,0.5352
(eda_std_high) => eda_std_high starts arousal_medium,True,0.6327,0.6456,0.62,True,0.6377,0.6377,0.6197
(eda_std_high) => eda_std_high starts eda_high,True,0.5918,0.5918,0.58,False,,,
(eda_std_high) => eda_std_high starts valence_medium,True,0.5918,0.5918,0.58,True,0.7536,0.7536,0.7324
(eda_std_low) => eda_std_low before eda_peaks_high,False,,,,True,0.5538,0.5538,0.507
(eda_std_low) => eda_std_low before eda_scr_auc_medium,True,0.6977,0.8112,0.6,False,,,
(eda_std_low) => eda_std_low meets arousal_medium,True,0.5349,0.5458,0.46,False,,,
(eda_std_low) => eda_std_low meets eda_peaks_high,True,0.5814,0.5814,0.5,False,,,
(eda_std_low) => eda_std_low meets eda_peaks_medium,True,0.6744,0.7175,0.58,True,0.7231,0.7334,0.662
(eda_std_low) => eda_std_low meets eda_scr_auc_medium,False,,,,True,0.6615,0.701,0.6056
(eda_std_low) => eda_std_low meets eda_std_low,True,0.5116,0.5949,0.44,False,,,
(eda_std_low) => eda_std_low meets eda_std_medium,True,0.5814,0.6607,0.5,True,0.7077,0.7077,0.6479
(eda_std_low) => eda_std_low overlaps valence_medium,False,,,,True,0.5385,0.5385,0.493
(eda_std_medium) => eda_std_medium contains eda_peaks_medium,False,,,,True,0.6197,0.6286,0.6197
(eda_std_medium) => eda_std_medium contains eda_scr_amp_low,True,0.5455,0.6198,0.48,False,,,
(eda_std_medium) => eda_std_medium contains eda_scr_auc_medium,False,,,,True,0.5493,0.5821,0.5493
(eda_std_medium) => eda_std_medium is-finished-by eda_peaks_high,False,,,,True,0.5634,0.5634,0.5634
(eda_std_medium) => eda_std_medium is-finished-by hr_medium,True,0.5682,0.6607,0.5,False,,,
(eda_std_medium) => eda_std_medium meets arousal_medium,True,0.5909,0.603,0.52,True,0.5915,0.5915,0.5915
(eda_std_medium) => eda_std_medium meets eda_peaks_high,True,0.6591,0.6591,0.58,False,,,
(eda_std_medium) => eda_std_medium meets eda_scr_auc_medium,True,0.6591,0.7664,0.58,False,,,
(eda_std_medium) => eda_std_medium meets eda_std_high,False,,,,True,0.5775,0.5942,0.5775
(eda_std_medium) => eda_std_medium meets eda_std_low,True,0.5455,0.6342,0.48,False,,,
(eda_std_medium) => eda_std_medium meets eda_std_medium,True,0.5227,0.594,0.46,True,0.507,0.507,0.507
(eda_std_medium) => eda_std_medium meets valence_medium,True,0.6364,0.6364,0.56,True,0.6479,0.6479,0.6479
(eda_std_medium) => eda_std_medium starts eda_peaks_medium,True,0.5455,0.5803,0.48,False,,,
(hr_high) => hr_high before eda_peaks_high,True,0.6512,0.6512,0.56,False,,,
(hr_high) => hr_high equals valence_medium,False,,,,True,0.617,0.617,0.4085
(hr_high) => hr_high is-finished-by eda_scr_auc_high,False,,,,True,0.5532,0.5532,0.3662
(hr_high) => hr_high meets eda_peaks_medium,False,,,,True,0.5745,0.5827,0.3803
(hr_high) => hr_high meets hr_medium,True,0.6279,0.7301,0.54,True,0.5745,0.8678,0.3803
(hr_high) => hr_high overlaps eda_std_medium,False,,,,True,0.6809,0.6809,0.4507
(hr_high) => hr_high starts arousal_medium,True,0.5814,0.5933,0.5,True,0.5957,0.5957,0.3944
(hr_high) => hr_high starts eda_high,True,0.5349,0.5349,0.46,False,,,
(hr_high) => hr_high starts eda_peaks_medium,True,0.5116,0.5443,0.44,False,,,
(hr_high) => hr_high starts eda_scr_auc_high,True,0.5814,0.5933,0.5,False,,,
(hr_high) => hr_high starts eda_std_high,True,0.5581,0.5695,0.48,True,0.5319,0.5473,0.3521
(hr_high) => hr_high starts valence_medium,True,0.5581,0.5581,0.48,False,,,
(hr_low) => hr_low before arousal_medium,False,,,,True,0.5227,0.5227,0.3239
(hr_low) => hr_low before eda_peaks_medium,False,,,,True,0.6818,0.6916,0.4225
(hr_low) => hr_low before eda_scr_amp_low,True,0.5,0.5682,0.38,False,,,
(hr_low) => hr_low before eda_scr_auc_low,False,,,,True,0.5227,0.6084,0.3239
(hr_low) => hr_low before eda_std_medium,False,,,,True,0.5682,0.5682,0.3521
(hr_low) => hr_low before hr_low,True,0.5789,0.7618,0.44,True,0.5455,0.8802,0.338
(hr_low) => hr_low equals valence_medium,False,,,,True,0.5682,0.5682,0.3521
(hr_low) => hr_low meets eda_peaks_high,True,0.6579,0.6579,0.5,True,0.5909,0.5909,0.3662
(hr_low) => hr_low meets eda_scr_auc_medium,False,,,,True,0.7045,0.7466,0.4366
(hr_low) => hr_low meets eda_std_low,True,0.5,0.5814,0.38,False,,,
(hr_low) => hr_low meets hr_medium,True,0.5789,0.6732,0.44,True,0.5227,0.7897,0.3239
(hr_low) => hr_low starts arousal_medium,True,0.5263,0.5371,0.4,False,,,
(hr_low) => hr_low starts valence_medium,True,0.6842,0.6842,0.52,False,,,
(hr_medium) => hr_medium before eda_peaks_high,False,,,,True,0.5745,0.5745,0.3803
(hr_medium) => hr_medium before eda_scr_auc_medium,False,,,,True,0.5745,0.6088,0.3803
(hr_medium) => hr_medium before hr_medium,True,0.6047,0.7031,0.52,True,0.5319,0.8035,0.3521
(hr_medium) => hr_medium is-finished-by eda_peaks_high,True,0.6512,0.6512,0.56,False,,,
(hr_medium) => hr_medium meets eda_peaks_medium,True,0.5581,0.5938,0.48,False,,,
(hr_medium) => hr_medium meets eda_std_medium,False,,,,True,0.5319,0.5319,0.3521
(hr_medium) => hr_medium meets valence_medium,True,0.5814,0.5814,0.5,True,0.5957,0.5957,0.3944
(hr_medium) => hr_medium starts eda_peaks_medium,False,,,,True,0.5957,0.6043,0.3944
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_cvsd_high,True,0.7073,0.8841,0.58,True,0.7,0.8875,0.5915
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_pnn20_high,False,,,,True,0.5333,0.6311,0.4507
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_pnn50_high,True,0.5366,0.6879,0.44,True,0.5167,0.6551,0.4366
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_rmssd_high,True,0.6585,0.8443,0.54,True,0.6833,0.8664,0.5775
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_sdnn_high,True,0.9512,1.1061,0.78,True,0.9,1.065,0.7606
(hrv_cvnn_high) => hrv_cvnn_high meets arousal_medium,True,0.561,0.5724,0.46,True,0.6667,0.6667,0.5634
(hrv_cvnn_high) => hrv_cvnn_high meets eda_peaks_high,True,0.5366,0.5366,0.44,False,,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_peaks_medium,False,,,,True,0.5,0.5071,0.4225
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_auc_high,False,,,,True,0.5833,0.5833,0.493
(hrv_cvnn_high) => hrv_cvnn_high meets eda_scr_auc_medium,True,0.5122,0.5956,0.42,False,,,
(hrv_cvnn_high) => hrv_cvnn_high meets eda_std_high,False,,,,True,0.5,0.5145,0.4225
(hrv_cvnn_high) => hrv_cvnn_high meets eda_std_medium,False,,,,True,0.5333,0.5333,0.4507
(hrv_cvnn_high) => hrv_cvnn_high meets valence_medium,True,0.6829,0.6829,0.56,True,0.6,0.6,0.507
(hrv_cvnn_low) => hrv_cvnn_low before eda_max_low,True,0.5135,0.5349,0.38,False,,,
(hrv_cvnn_low) => hrv_cvnn_low before eda_peaks_medium,False,,,,True,0.549,0.5569,0.3944
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_cvsd_low,True,0.7297,0.9356,0.54,True,0.8235,1.1694,0.5915
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_pnn20_low,False,,,,True,0.6471,0.8204,0.4648
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_pnn50_low,False,,,,True,0.6863,0.937,0.493
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_rmssd_low,True,0.7027,0.9009,0.52,True,0.6863,0.9554,0.493
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_sdnn_low,True,0.9189,1.1781,0.68,True,0.9216,1.2346,0.662
(hrv_cvnn_low) => hrv_cvnn_low equals temp_high,True,0.5135,0.6113,0.38,False,,,
(hrv_cvnn_low) => hrv_cvnn_low meets arousal_medium,True,0.5405,0.5516,0.4,True,0.6863,0.6863,0.493
(hrv_cvnn_low) => hrv_cvnn_low meets eda_peaks_high,True,0.5405,0.5405,0.4,True,0.5686,0.5686,0.4085
(hrv_cvnn_low) => hrv_cvnn_low meets eda_peaks_medium,True,0.5405,0.575,0.4,False,,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_high,False,,,,True,0.5098,0.5098,0.3662
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_low,True,0.5946,0.7623,0.44,False,,,
(hrv_cvnn_low) => hrv_cvnn_low meets eda_scr_auc_medium,False,,,,True,0.5294,0.561,0.3803
(hrv_cvnn_low) => hrv_cvnn_low meets eda_std_low,True,0.5135,0.5971,0.38,False,,,
(hrv_cvnn_low) => hrv_cvnn_low meets valence_medium,True,0.6216,0.6216,0.46,True,0.5882,0.5882,0.4225
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_peaks_high,False,,,,True,0.5,0.5,0.3662
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_peaks_medium,True,0.7436,0.7911,0.58,True,0.6538,0.6632,0.4789
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_scr_auc_medium,True,0.5897,0.6857,0.46,True,0.5385,0.5706,0.3944
(hrv_cvnn_medium) => hrv_cvnn_medium before eda_std_medium,False,,,,True,0.5192,0.5192,0.3803
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_cvsd_medium,False,,,,True,0.5577,0.7199,0.4085
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_sdnn_medium,True,0.6923,0.9615,0.54,True,0.8077,1.1028,0.5915
(hrv_cvnn_medium) => hrv_cvnn_medium meets arousal_medium,True,0.6154,0.6279,0.48,True,0.6923,0.6923,0.507
(hrv_cvnn_medium) => hrv_cvnn_medium meets eda_peaks_high,True,0.5128,0.5128,0.4,False,,,
(hrv_cvnn_medium) => hrv_cvnn_medium meets eda_scr_auc_high,True,0.5128,0.5233,0.4,True,0.5,0.5,0.3662
(hrv_cvnn_medium) => hrv_cvnn_medium meets eda_std_high,False,,,,True,0.5192,0.5343,0.3803
(hrv_cvnn_medium) => hrv_cvnn_medium meets valence_medium,True,0.6923,0.6923,0.54,True,0.7115,0.7115,0.5211
(hrv_cvsd_high) => hrv_cvsd_high before eda_peaks_medium,False,,,,True,0.5536,0.5615,0.4366
(hrv_cvsd_high) => hrv_cvsd_high before eda_scr_auc_high,True,0.525,0.5357,0.42,False,,,
(hrv_cvsd_high) => hrv_cvsd_high before eda_std_medium,False,,,,True,0.5893,0.5893,0.4648
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_pnn20_high,False,,,,True,0.5179,0.6128,0.4085
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_pnn50_high,True,0.675,0.8654,0.54,True,0.6607,0.8377,0.5211
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_rmssd_high,True,0.95,1.2179,0.76,True,0.875,1.1094,0.6901
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_sdnn_high,True,0.775,0.9012,0.62,True,0.8571,1.0143,0.6761
(hrv_cvsd_high) => hrv_cvsd_high meets arousal_medium,True,0.575,0.5867,0.46,True,0.5893,0.5893,0.4648
(hrv_cvsd_high) => hrv_cvsd_high meets eda_peaks_high,True,0.525,0.525,0.42,False,,,
(hrv_cvsd_high) => hrv_cvsd_high meets eda_scr_auc_high,False,,,,True,0.5893,0.5893,0.4648
(hrv_cvsd_high) => hrv_cvsd_high meets eda_std_high,False,,,,True,0.5893,0.6064,0.4648
(hrv_cvsd_high) => hrv_cvsd_high meets valence_medium,True,0.55,0.55,0.44,True,0.5714,0.5714,0.4507
(hrv_cvsd_low) => hrv_cvsd_low before eda_peaks_medium,True,0.5385,0.5728,0.42,True,0.56,0.568,0.3944
(hrv_cvsd_low) => hrv_cvsd_low before eda_scr_auc_medium,False,,,,True,0.5,0.5299,0.3521
(hrv_cvsd_low) => hrv_cvsd_low before eda_std_medium,False,,,,True,0.56,0.56,0.3944
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_pnn20_low,True,0.5128,0.7326,0.4,True,0.74,0.9382,0.5211
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_pnn50_low,True,0.5641,0.7232,0.44,True,0.74,1.0104,0.5211
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_rmssd_low,True,0.8974,1.1506,0.7,True,0.84,1.1694,0.5915
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_sdnn_low,True,0.7692,0.9862,0.6,True,0.78,1.0449,0.5493
(hrv_cvsd_low) => hrv_cvsd_low meets arousal_medium,True,0.5897,0.6018,0.46,True,0.62,0.62,0.4366
(hrv_cvsd_low) => hrv_cvsd_low meets eda_peaks_high,False,,,,True,0.5,0.5,0.3521
(hrv_cvsd_low) => hrv_cvsd_low meets eda_scr_amp_medium,False,,,,True,0.56,0.7502,0.3944
(hrv_cvsd_low) => hrv_cvsd_low meets valence_medium,True,0.5897,0.5897,0.46,True,0.64,0.64,0.4507
(hrv_cvsd_medium) => hrv_cvsd_medium before eda_peaks_medium,True,0.6316,0.6719,0.48,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium before eda_scr_auc_medium,False,,,,True,0.5455,0.578,0.4225
(hrv_cvsd_medium) => hrv_cvsd_medium before hr_medium,True,0.5,0.5814,0.38,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium equals hrv_pnn50_medium,False,,,,True,0.5455,0.7041,0.4225
(hrv_cvsd_medium) => hrv_cvsd_medium equals hrv_rmssd_medium,True,0.8158,1.0734,0.62,True,0.6727,0.9185,0.5211
(hrv_cvsd_medium) => hrv_cvsd_medium equals hrv_sdnn_medium,False,,,,True,0.5091,0.6951,0.3944
(hrv_cvsd_medium) => hrv_cvsd_medium meets arousal_medium,True,0.5526,0.5639,0.42,True,0.6909,0.6909,0.5352
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_max_medium,False,,,,True,0.5091,0.5477,0.3944
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_peaks_high,True,0.6053,0.6053,0.46,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_peaks_medium,False,,,,True,0.5091,0.5164,0.3944
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_scr_amp_low,True,0.5,0.5682,0.38,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_scr_auc_high,False,,,,True,0.5273,0.5273,0.4085
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_scr_auc_low,True,0.5,0.641,0.38,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_scr_auc_medium,True,0.6053,0.7038,0.46,False,,,
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_std_high,False,,,,True,0.5091,0.5238,0.3944
(hrv_cvsd_medium) => hrv_cvsd_medium meets eda_std_medium,False,,,,True,0.5091,0.5091,0.3944
(hrv_cvsd_medium) => hrv_cvsd_medium meets valence_medium,True,0.7632,0.7632,0.58,True,0.6727,0.6727,0.5211
(hrv_hfn_high) => hrv_hfn_high before eda_peaks_medium,True,0.5312,0.5652,0.34,True,0.5,0.5071,0.2958
